相手,段数,目安の得点差,重み,経路,試合1,試合2,試合3
昭和第一,3,2,0.0857,武蔵丘 → 佼成学園 → 武蔵 → 昭和第一,武蔵丘 × 0-2 佼成学園（2025 新人戦 2回戦）,佼成学園 ○ 8-7 武蔵（2026 総体 2回戦）,武蔵 ○ 4-1 昭和第一（2024 総体 1回戦）
昭和第一,3,4,0.0857,武蔵丘 → 星槎国際八王子 → 武蔵 → 昭和第一,武蔵丘 × 1-1 PK負 2-4 星槎国際八王子（2025 選手権 2回戦）,星槎国際八王子 ○ 2-1 武蔵（2026 総体 1回戦）,武蔵 ○ 4-1 昭和第一（2024 総体 1回戦）
昭和第一,3,2,0.042,武蔵丘 → 日大鶴ヶ丘 → 鷺宮 → 昭和第一,武蔵丘 × 2-3 日大鶴ヶ丘（2024 新人戦 準々決勝）,日大鶴ヶ丘 ○ 1-0 鷺宮（2025 新人戦 3回戦）,鷺宮 ○ 4-2 昭和第一（2024 選手権 1回戦）
昭和第一,3,-2,0.042,武蔵丘 → 保善 → 文京 → 昭和第一,武蔵丘 × 0-5 保善（2023 選手権 2回戦）,保善 ○ 2-1 文京（2025 選手権 2回戦）,文京 ○ 3-1 昭和第一（2025 新人戦 1回戦）
昭和第一,3,6,0.042,武蔵丘 → 野津田 → 淑徳巣鴨 → 昭和第一,武蔵丘 ○ 2-1 野津田（2024 選手権 2回戦）,野津田 ○ 2-1 淑徳巣鴨（2025 選手権 ブロック決勝）,淑徳巣鴨 ○ 4-0 昭和第一（2024 新人戦 2回戦）
昭和第一,3,7,0.0294,武蔵丘 → 杉並 → 淑徳巣鴨 → 昭和第一,武蔵丘 ○ 8-1 杉並（2023 新人戦 2回戦）,杉並 × 1-3 淑徳巣鴨（2025 選手権 2回戦）,淑徳巣鴨 ○ 4-0 昭和第一（2024 新人戦 2回戦）
昭和第一,3,-6,0.0294,武蔵丘 → 学大国際 → 都・小平 → 昭和第一,武蔵丘 ○ 3-1 学大国際（2024 新人戦 2回戦）,学大国際 × 0-6 都・小平（2025 選手権 1回戦）,都・小平 × 0-3 昭和第一（2023 選手権 1回戦）
昭和第一,3,5,0.0294,武蔵丘 → 野津田 → 淑徳巣鴨 → 昭和第一,武蔵丘 ○ 2-1 野津田（2024 選手権 2回戦）,野津田 ○ 2-1 淑徳巣鴨（2025 選手権 ブロック決勝）,淑徳巣鴨 ○ 3-0 昭和第一（2023 総体 2回戦）
昭和第一,3,2,0.0294,武蔵丘 → 星槎国際八王子 → 明大明治 → 昭和第一,武蔵丘 × 1-1 PK負 2-4 星槎国際八王子（2025 選手権 2回戦）,星槎国際八王子 × 1-4 明大明治（2024 新人戦 準々決勝）,明大明治 ○ 6-1 昭和第一（2023 選手権 2回戦）
昭和第一,3,0,0.0294,武蔵丘 → 星槎国際八王子 → 都・小平 → 昭和第一,武蔵丘 × 1-1 PK負 2-4 星槎国際八王子（2025 選手権 2回戦）,星槎国際八王子 ○ 3-0 都・小平（2024 総体 ブロック決勝）,都・小平 × 0-3 昭和第一（2023 選手権 1回戦）
