年度,大会,段階,日付,チームA,学校A,チームB,学校B,得点A,得点B,PK_A,PK_B,出典
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-12-14,都立東,東,都立小松川,小松川,1,4,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-16,都立葛西工,葛西工,都立科学技術,科学技術,0,3,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-16,都立篠崎,篠崎,都立日本橋,日本橋,3,4,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-16,都立橘,橘,都立葛飾総合,葛飾総合,0,3,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-16,開成,開成,都立深川,深川,2,1,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-16,都立紅葉川,紅葉川,安田学園,安田学園,4,1,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-16,竹台,竹台,東,東,0,12,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-16,都立小松川,小松川,都立墨田工,墨田工,3,0,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-16,立志舎,立志舎,都立農産,農産,1,7,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-16,日大一,日大一,都立小岩,小岩,0,4,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-16,都立江戸川,江戸川,都立葛西南,葛西南,4,1,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-16,都立両国,両国,都立本所,本所,2,3,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-16,第三商業,第三商業,都立葛飾商,葛飾商,1,5,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-23,都立墨田川,墨田川,都立科学技術,科学技術,7,0,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-23,都立日本橋,日本橋,都立葛飾総合,葛飾総合,3,4,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-23,開成,開成,都立紅葉川,紅葉川,2,1,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-23,都立東,東,都立葛飾野,葛飾野,0,0,4,3,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-23,かえつ有明,かえつ有明,都立小松川,小松川,1,4,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-23,都立農産,農産,都立小岩,小岩,0,8,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-23,都立江戸川,江戸川,都立本所,本所,2,1,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-23,都立葛飾商,葛飾商,都立城東,城東,0,3,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-30,都立墨田川,墨田川,都立葛飾総合,葛飾総合,1,0,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-30,開成,開成,都立東,東,0,0,1,4,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-30,都立小松川,小松川,都立小岩,小岩,5,0,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-11-30,都立江戸川,江戸川,都立城東,城東,0,5,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-12-07,都立墨田川,墨田川,都立東,東,1,0,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-12-07,都立小松川,小松川,都立城東,城東,0,2,,,https://koko-soccer.com/score/24
2014,新人戦,都高校サッカー新人選手権大会 地区予選 第1地区,2014-12-14,都立墨田川,墨田川,都立城東,城東,0,3,,,https://koko-soccer.com/score/24
