地区,リーグ,年度,部,節,日付,ホーム,アウェイ,ホーム得点,アウェイ得点,実施,ホーム学校,ホーム区分,アウェイ学校,アウェイ区分,出典
第1地区,リバーサイドユースリーグ,2024,1部,,,葛飾野B,東京23FC,14,1,済,葛飾野,B,東京23FC,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,,深川A,東京23FC,3,1,済,深川,A,東京23FC,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-04-03,南葛飾A,紅葉川A,4,3,済,南葛飾,A,紅葉川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-04-03,葛飾野B,東B,0,0,済,葛飾野,B,東,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-04-04,深川A,小松川,1,1,済,深川,A,小松川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-04-14,江戸川A,紅葉川A,4,3,済,江戸川,A,紅葉川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-04-14,深川A,南葛SC,1,2,済,深川,A,南葛SC,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-04-17,東京23FC,小松川,0,1,済,東京23FC,A,小松川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-05-06,城東B,深川A,0,3,済,城東,B,深川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-05-06,東B,南葛飾A,0,4,済,東,B,南葛飾,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-05-18,南葛飾A,南葛SC,1,0,済,南葛飾,A,南葛SC,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-05-26,小松川,葛飾野B,4,0,済,小松川,A,葛飾野,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-06-09,江戸川A,深川A,1,2,済,江戸川,A,深川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-06-09,城東B,南葛飾A,0,2,済,城東,B,南葛飾,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-06-09,小松川,紅葉川A,0,6,済,小松川,A,紅葉川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-06-09,南葛SC,葛飾野B,6,1,済,南葛SC,A,葛飾野,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-06-15,南葛飾A,小松川,5,2,済,南葛飾,A,小松川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-06-16,東B,東京23FC,0,4,済,東,B,東京23FC,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-06-16,葛飾野B,城東B,2,1,済,葛飾野,B,城東,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-06-16,紅葉川A,南葛SC,4,2,済,紅葉川,A,南葛SC,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-06-22,東京23FC,江戸川A,2,13,済,東京23FC,A,江戸川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-06-30,南葛SC,東京23FC,11,1,済,南葛SC,A,東京23FC,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-07-18,深川A,東B,7,0,済,深川,A,東,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-07-20,江戸川A,城東B,2,2,済,江戸川,A,城東,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-07-22,葛飾野B,紅葉川A,1,3,済,葛飾野,B,紅葉川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-08-06,東B,江戸川A,1,2,済,東,B,江戸川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-08-08,東京23FC,城東B,1,6,済,東京23FC,A,城東,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-09-18,城東B,小松川,1,0,済,城東,B,小松川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-09-23,江戸川A,南葛飾A,0,5,済,江戸川,A,南葛飾,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-09-23,深川A,葛飾野B,3,2,済,深川,A,葛飾野,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-09-29,城東B,東B,2,1,済,城東,B,東,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-10-01,深川A,紅葉川A,3,0,済,深川,A,紅葉川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-10-01,小松川,江戸川A,6,1,済,小松川,A,江戸川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-10-01,南葛飾A,葛飾野B,3,1,済,南葛飾,A,葛飾野,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-10-06,江戸川A,南葛SC,0,9,済,江戸川,A,南葛SC,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-10-12,葛飾野B,江戸川A,2,1,済,葛飾野,B,江戸川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-10-20,紅葉川A,東京23FC,2,0,済,紅葉川,A,東京23FC,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-10-27,東京23FC,南葛飾A,1,6,済,東京23FC,A,南葛飾,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-11-03,南葛飾A,深川A,4,1,済,南葛飾,A,深川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-11-03,南葛SC,小松川,7,1,済,南葛SC,A,小松川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-11-04,城東B,紅葉川A,1,2,済,城東,B,紅葉川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-11-10,東B,小松川,0,1,済,東,B,小松川,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-11-24,南葛SC,東B,6,0,済,南葛SC,A,東,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-12-08,城東B,南葛SC,0,12,済,城東,B,南葛SC,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,1部,,2024-12-22,紅葉川A,東B,2,0,済,紅葉川,A,東,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170
第1地区,リバーサイドユースリーグ,2024,2部A,,,墨田川,修徳D,2,5,済,墨田川,A,修徳,D,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-04-02,共栄学園,紅葉川Ｉ,2,2,済,共栄学園,A,紅葉川,I,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-04-02,葛飾商業,安田学園,1,3,済,葛飾商業,A,安田学園,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-04-03,修徳D,江戸川B,5,0,済,修徳,D,江戸川,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-04-06,墨田川,江戸川B,5,1,済,墨田川,A,江戸川,B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-04-10,共栄学園,修徳D,1,3,済,共栄学園,A,修徳,D,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-04-13,葛飾商業,修徳D,0,1,済,葛飾商業,A,修徳,D,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-04-14,江戸川B,開成A,0,6,済,江戸川,B,開成,A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
第1地区,リバーサイドユースリーグ,2024,2部A,,2024-04-14,安田学園,かえつ有明C,2,2,済,安田学園,A,かえつ有明,C,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171
