地区,リーグ,年度,部,順位,チーム,学校,区分,勝点,試合,勝,分,敗,得点,失点,得失点,出典
第1地区,リバーサイドユースリーグ,2026,1部,1,都立紅葉川高校,紅葉川,A,18,6,6,0,0,21,3,18,https://riverside-league.com/schedule_division1.html（試合から計算）
第1地区,リバーサイドユースリーグ,2026,1部,2,修徳高校Ｃ,修徳,C,15,6,5,0,1,27,6,21,https://riverside-league.com/schedule_division1.html（試合から計算）
第1地区,リバーサイドユースリーグ,2026,1部,3,かえつ有明高等学校Ｂ,かえつ有明,B,13,6,4,1,1,14,11,3,https://riverside-league.com/schedule_division1.html（試合から計算）
第1地区,リバーサイドユースリーグ,2026,1部,4,都立深川高等学校,深川,A,10,6,3,1,2,14,9,5,https://riverside-league.com/schedule_division1.html（試合から計算）
第1地区,リバーサイドユースリーグ,2026,1部,5,東京２３ＦＣ　Ｕ－１８,東京23FCU-18,A,8,6,2,2,2,8,11,-3,https://riverside-league.com/schedule_division1.html（試合から計算）
第1地区,リバーサイドユースリーグ,2026,1部,6,開成,開成,A,6,6,2,0,4,15,12,3,https://riverside-league.com/schedule_division1.html（試合から計算）
第1地区,リバーサイドユースリーグ,2026,1部,7,都立小松川高校,小松川,A,6,6,2,0,4,8,9,-1,https://riverside-league.com/schedule_division1.html（試合から計算）
第1地区,リバーサイドユースリーグ,2026,1部,8,墨田川高校,墨田川,A,6,6,2,0,4,8,15,-7,https://riverside-league.com/schedule_division1.html（試合から計算）
第1地区,リバーサイドユースリーグ,2026,1部,9,都立江戸川高等学校,江戸川,A,4,6,1,1,4,10,35,-25,https://riverside-league.com/schedule_division1.html（試合から計算）
第1地区,リバーサイドユースリーグ,2026,1部,10,城東Ｂ,城東,B,1,6,0,1,5,4,18,-14,https://riverside-league.com/schedule_division1.html（試合から計算）
第1地区,リバーサイドユースリーグ,2026,2部A,1,修徳高校Ｄ,修徳,D,12,5,4,0,1,17,7,10,https://riverside-league.com/schedule_division2_group_a.html（試合から計算）
第1地区,リバーサイドユースリーグ,2026,2部A,2,都立葛飾商業高校,葛飾商業,A,12,5,4,0,1,13,4,9,https://riverside-league.com/schedule_division2_group_a.html（試合から計算）
第1地区,リバーサイドユースリーグ,2026,2部A,3,かえつ有明高等学校Ｃ,かえつ有明,C,12,6,4,0,2,12,6,6,https://riverside-league.com/schedule_division2_group_a.html（試合から計算）
第1地区,リバーサイドユースリーグ,2026,2部A,4,日本橋高校,日本橋,A,10,5,3,1,1,10,7,3,https://riverside-league.com/schedule_division2_group_a.html（試合から計算）
第1地区,リバーサイドユースリーグ,2026,2部A,5,日本大学第一高等学校,日大一,A,9,5,3,0,2,14,12,2,https://riverside-league.com/schedule_division2_group_a.html（試合から計算）
第1地区,リバーサイドユースリーグ,2026,2部A,6,都立両国高等学校,両国,A,7,6,2,1,3,13,12,1,https://riverside-league.com/schedule_division2_group_a.html（試合から計算）
第1地区,リバーサイドユースリーグ,2026,2部A,7,南葛飾高校Ｃ,南葛飾,C,7,6,2,1,3,5,11,-6,https://riverside-league.com/schedule_division2_group_a.html（試合から計算）
第1地区,リバーサイドユースリーグ,2026,2部A,8,都立竹台高等学校,竹台,A,4,5,1,1,3,6,17,-11,https://riverside-league.com/schedule_division2_group_a.html（試合から計算）
第1地区,リバーサイドユースリーグ,2026,2部A,9,都立篠崎高等学校,篠崎,A,3,5,1,0,4,4,9,-5,https://riverside-league.com/schedule_division2_group_a.html（試合から計算）
第1地区,リバーサイドユースリーグ,2026,2部A,10,安田学園,安田学園,A,2,6,0,2,4,6,15,-9,https://riverside-league.com/schedule_division2_group_a.html（試合から計算）
第1地区,リバーサイドユースリーグ,2026,2部B,1,南葛飾高校B,南葛飾,B,19,7,6,1,0,19,4,15,https://www.riverside-league.com/schedule_division2_group_b.html（試合から計算）
第1地区,リバーサイドユースリーグ,2026,2部B,2,修徳高校Ｅ,修徳,E,13,5,4,1,0,32,3,29,https://www.riverside-league.com/schedule_division2_group_b.html（試合から計算）
第1地区,リバーサイドユースリーグ,2026,2部B,3,都立葛飾野高校B,葛飾野,B,12,7,4,0,3,13,11,2,https://www.riverside-league.com/schedule_division2_group_b.html（試合から計算）
第1地区,リバーサイドユースリーグ,2026,2部B,4,安田学園Ｂ,安田学園,B,10,5,3,1,1,15,6,9,https://www.riverside-league.com/schedule_division2_group_b.html（試合から計算）
第1地区,リバーサイドユースリーグ,2026,2部B,5,都立深川高等学校Ｂ,深川,B,9,6,2,3,1,14,12,2,https://www.riverside-league.com/schedule_division2_group_b.html（試合から計算）
第1地区,リバーサイドユースリーグ,2026,2部B,6,都立東高等学校Ｂ,東,B,7,6,2,1,3,12,14,-2,https://www.riverside-league.com/schedule_division2_group_b.html（試合から計算）
第1地区,リバーサイドユースリーグ,2026,2部B,7,共栄学園,共栄学園,A,5,6,1,2,3,6,10,-4,https://www.riverside-league.com/schedule_division2_group_b.html（試合から計算）
第1地区,リバーサイドユースリーグ,2026,2部B,8,開成Ｂ,開成,B,4,6,1,1,4,5,19,-14,https://www.riverside-league.com/schedule_division2_group_b.html（試合から計算）
第1地区,リバーサイドユースリーグ,2026,2部B,9,都立紅葉川高校Ｂ,紅葉川,B,4,6,1,1,4,5,24,-19,https://www.riverside-league.com/schedule_division2_group_b.html（試合から計算）
第1地区,リバーサイドユースリーグ,2026,2部B,10,墨田工科高校,墨田工科,A,1,6,0,1,5,4,22,-18,https://www.riverside-league.com/schedule_division2_group_b.html（試合から計算）
第2地区,DUOリーグ,2026,グループA,1,淑徳巣鴨A,淑徳巣鴨,A,21,7,7,0,0,34,3,31,https://www.goalnote.net/detail-standings.php?tid=18409
第2地区,DUOリーグ,2026,グループA,2,駒込A,駒込,A,16,6,5,1,0,22,2,20,https://www.goalnote.net/detail-standings.php?tid=18409
第2地区,DUOリーグ,2026,グループA,3,都立文京A,文京,A,12,6,4,0,2,20,13,7,https://www.goalnote.net/detail-standings.php?tid=18409
第2地区,DUOリーグ,2026,グループA,4,立教池袋,立教池袋,A,9,7,3,0,4,14,13,1,https://www.goalnote.net/detail-standings.php?tid=18409
第2地区,DUOリーグ,2026,グループA,5,豊島学院A,豊島学院,A,9,7,3,0,4,14,24,-10,https://www.goalnote.net/detail-standings.php?tid=18409
第2地区,DUOリーグ,2026,グループA,6,足立学園,足立学園,A,7,7,2,1,4,6,18,-12,https://www.goalnote.net/detail-standings.php?tid=18409
第2地区,DUOリーグ,2026,グループA,7,都立豊島B,豊島,B,6,6,1,3,2,9,10,-1,https://www.goalnote.net/detail-standings.php?tid=18409
第2地区,DUOリーグ,2026,グループA,8,日大豊山C,日大豊山,C,6,6,2,0,4,7,11,-4,https://www.goalnote.net/detail-standings.php?tid=18409
第2地区,DUOリーグ,2026,グループA,9,郁文館,郁文館,A,5,6,1,2,3,9,23,-14,https://www.goalnote.net/detail-standings.php?tid=18409
第2地区,DUOリーグ,2026,グループA,10,豊南A,豊南,A,1,6,0,1,5,8,26,-18,https://www.goalnote.net/detail-standings.php?tid=18409
第2地区,DUOリーグ,2026,グループB,1,昭和第一A,昭和第一,A,12,6,4,0,2,13,8,5,https://www.goalnote.net/detail-standings.php?tid=18409
第2地区,DUOリーグ,2026,グループB,2,都立足立,足立,A,12,5,4,0,1,8,6,2,https://www.goalnote.net/detail-standings.php?tid=18409
第2地区,DUOリーグ,2026,グループB,3,筑波大附属,筑波大学附属,A,10,5,3,1,1,13,4,9,https://www.goalnote.net/detail-standings.php?tid=18409
第2地区,DUOリーグ,2026,グループB,4,駒込B,駒込,B,10,4,3,1,0,8,5,3,https://www.goalnote.net/detail-standings.php?tid=18409
第2地区,DUOリーグ,2026,グループB,5,巣鴨,巣鴨,A,4,3,1,1,1,4,5,-1,https://www.goalnote.net/detail-standings.php?tid=18409
第2地区,DUOリーグ,2026,グループB,6,都立小石川,小石川,A,4,5,1,1,3,7,10,-3,https://www.goalnote.net/detail-standings.php?tid=18409
第2地区,DUOリーグ,2026,グループB,7,京華A,京華,A,1,4,0,1,3,3,8,-5,https://www.goalnote.net/detail-standings.php?tid=18409
第2地区,DUOリーグ,2026,グループB,8,都立足立西,足立西,A,1,6,0,1,5,5,15,-10,https://www.goalnote.net/detail-standings.php?tid=18409
第2地区,DUOリーグ,2026,グループC,1,城西A,城西,A,16,7,5,1,1,20,9,11,https://www.goalnote.net/detail-standings.php?tid=18409
第2地区,DUOリーグ,2026,グループC,2,都立足立新田,足立新田,A,11,5,3,2,0,17,7,10,https://www.goalnote.net/detail-standings.php?tid=18409
第2地区,DUOリーグ,2026,グループC,3,淑徳巣鴨B,淑徳巣鴨,B,9,4,3,0,1,11,4,7,https://www.goalnote.net/detail-standings.php?tid=18409
