年度,リーグ,区分,ホーム,ホーム学校,ホーム区分,アウェイ,アウェイ学校,アウェイ区分,得点H,得点A,出典
2008,地区トップリーグ,グループA,小山台,小山台,,早稲田,早稲田,,3,0,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,小山台,小山台,,福生,福生,,1,3,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,小山台,小山台,,城東,城東,,2,1,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,小山台,小山台,,駒澤大学,駒澤大高,,0,4,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,小山台,小山台,,関東一,関東第一,,2,0,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,小山台,小山台,,早大学院,早大学院,,2,0,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,小山台,小山台,,片倉,片倉,,4,0,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,早稲田,早稲田,,福生,福生,,1,2,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,早稲田,早稲田,,城東,城東,,2,4,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,早稲田,早稲田,,駒澤大学,駒澤大高,,2,5,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,早稲田,早稲田,,関東一,関東第一,,1,2,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,早稲田,早稲田,,早大学院,早大学院,,0,4,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,早稲田,早稲田,,片倉,片倉,,1,5,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,福生,福生,,城東,城東,,2,0,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,福生,福生,,駒澤大学,駒澤大高,,0,2,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,福生,福生,,関東一,関東第一,,0,0,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,福生,福生,,早大学院,早大学院,,1,3,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,福生,福生,,片倉,片倉,,3,0,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,城東,城東,,駒澤大学,駒澤大高,,1,4,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,城東,城東,,関東一,関東第一,,1,1,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,城東,城東,,早大学院,早大学院,,1,4,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
2008,地区トップリーグ,グループA,城東,城東,,片倉,片倉,,2,1,waseda_2008-地区トップリーグ・NSリーグ星取表1･2部.pdf
