tid,種類,年度,リーグ名,部,URL
246801,index,2026,JA東京カップ 第16ブロック,予選1次・A,https://junior-soccer.jp/kanto/tokyo/league/table/246801
246802,index,2026,JA東京カップ 第16ブロック,予選1次・B,https://junior-soccer.jp/kanto/tokyo/league/table/246802
246803,index,2026,JA東京カップ 第16ブロック,予選1次・C,https://junior-soccer.jp/kanto/tokyo/league/table/246803
246804,index,2026,JA東京カップ 第16ブロック,予選1次・D,https://junior-soccer.jp/kanto/tokyo/league/table/246804
165807,index,,【1部Bブロック】2026東京U-13リーグ前期,,https://junior-soccer.jp/kanto/tokyo/league/table/165807
165808,index,,【1部Cブロック】2026東京U-13リーグ前期,,https://junior-soccer.jp/kanto/tokyo/league/table/165808
165810,index,,【1部Eブロック】2026東京U-13リーグ前期,,https://junior-soccer.jp/kanto/tokyo/league/table/165810
165811,index,,【1部Fブロック】2026東京U-13リーグ前期,,https://junior-soccer.jp/kanto/tokyo/league/table/165811
165812,index,,【1部Gブロック】2026東京U-13リーグ前期,,https://junior-soccer.jp/kanto/tokyo/league/table/165812
165813,index,,【1部Hブロック】2026東京U-13リーグ前期,,https://junior-soccer.jp/kanto/tokyo/league/table/165813
165814,index,,【1部Iブロック】2026東京U-13リーグ前期,,https://junior-soccer.jp/kanto/tokyo/league/table/165814
165815,index,,【1部Jブロック】2026東京U-13リーグ前期,,https://junior-soccer.jp/kanto/tokyo/league/table/165815
165816,index,,【1部Kブロック】2026東京U-13リーグ前期,,https://junior-soccer.jp/kanto/tokyo/league/table/165816
165817,index,,【1部Lブロック】2026東京U-13リーグ前期,,https://junior-soccer.jp/kanto/tokyo/league/table/165817
165818,index,,【1部Mブロック】2026東京U-13リーグ前期,,https://junior-soccer.jp/kanto/tokyo/league/table/165818
165819,index,,【1部Nブロック】2026東京U-13リーグ前期,,https://junior-soccer.jp/kanto/tokyo/league/table/165819
165820,index,,【1部Oブロック】2026東京U-13リーグ前期,,https://junior-soccer.jp/kanto/tokyo/league/table/165820
165821,index,,【1部Pブロック】2026東京U-13リーグ前期,,https://junior-soccer.jp/kanto/tokyo/league/table/165821
164292,index,,【2A】2026東京クラブユースU-14 2次リーグ,,https://junior-soccer.jp/kanto/tokyo/league/table/164292
164298,index,,【2G】2026東京クラブユースU-14 2次リーグ,,https://junior-soccer.jp/kanto/tokyo/league/table/164298
165822,index,,【2部Aブロック】2026東京U-13リーグ前期,,https://junior-soccer.jp/kanto/tokyo/league/table/165822
165823,index,,【2部Bブロック】2026東京U-13リーグ前期,,https://junior-soccer.jp/kanto/tokyo/league/table/165823
164264,index,,【Cブロック】2026フレッシュカップU-14,,https://junior-soccer.jp/kanto/tokyo/league/table/164264
246750,index,,【後期1部】2026東京U-12三井のリハウスリーグ,,https://junior-soccer.jp/kanto/tokyo/league/table/246750
246751,index,,【後期2部A】2026東京U-12三井のリハウスリーグ,,https://junior-soccer.jp/kanto/tokyo/league/table/246751
246752,index,,【後期2部B】2026東京U-12三井のリハウスリーグ,,https://junior-soccer.jp/kanto/tokyo/league/table/246752
246753,index,,【後期2部C】2026東京U-12三井のリハウスリーグ,,https://junior-soccer.jp/kanto/tokyo/league/table/246753
246754,index,,【後期3部A】2026東京U-12三井のリハウスリーグ,,https://junior-soccer.jp/kanto/tokyo/league/table/246754
246755,index,,【後期3部B】2026東京U-12三井のリハウスリーグ,,https://junior-soccer.jp/kanto/tokyo/league/table/246755
10032,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10032
10053,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10053
10055,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10055
10056,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10056
10057,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10057
10148,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10148
10149,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10149
10150,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10150
10151,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10151
102,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/102
103,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/103
1038,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/1038
1039,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/1039
104,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/104
1040,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/1040
1041,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/1041
1042,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/1042
1043,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/1043
1044,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/1044
1045,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/1045
105,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/105
10588,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10588
10589,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10589
106,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/106
10634,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10634
10635,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10635
10636,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10636
10637,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10637
10638,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10638
10639,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10639
1065,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/1065
1066,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/1066
1067,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/1067
10679,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10679
1068,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/1068
107,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/107
108,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/108
10828,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10828
10829,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10829
10830,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10830
10831,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10831
10832,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10832
10835,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10835
10837,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10837
10838,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10838
10839,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10839
10840,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10840
10841,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10841
10884,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10884
10885,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10885
10886,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10886
10887,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10887
109,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/109
10937,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10937
10938,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10938
10939,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10939
10940,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10940
10944,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/10944
