年度,リーグ,順位,チーム,学校,勝点,試合,勝,敗,分,得点,失点,得失点,出典
2026,プリンス関東1部,1,市立船橋,市立船橋,23,10,7,1,2,16,6,10,https://koko-soccer.com/score/4347
2026,プリンス関東1部,2,浦和レッズユース,浦和レッズユース,21,11,6,2,3,16,8,8,https://koko-soccer.com/score/4347
2026,プリンス関東1部,3,RB大宮アルディージャU18,RB大宮アルディージャU18,19,10,5,1,4,12,7,5,https://koko-soccer.com/score/4347
2026,プリンス関東1部,4,流通経済大柏(B),流通経済大柏,18,10,5,2,3,9,8,1,https://koko-soccer.com/score/4347
2026,プリンス関東1部,5,山梨学院高等学校,山梨学院,17,11,5,4,2,16,14,2,https://koko-soccer.com/score/4347
2026,プリンス関東1部,6,ジェフユナイテッド千葉U-18,ジェフユナイテッド千葉U-18,16,10,5,4,1,21,13,8,https://koko-soccer.com/score/4347
2026,プリンス関東1部,7,桐蔭学園,桐蔭学園,11,11,3,6,2,12,15,-3,https://koko-soccer.com/score/4347
2026,プリンス関東1部,8,帝京,帝京,9,11,3,8,0,16,19,-3,https://koko-soccer.com/score/4347
2026,プリンス関東1部,9,ヴァンフォーレ甲府U-18,ヴァンフォーレ甲府U-18,8,11,1,5,5,8,22,-14,https://koko-soccer.com/score/4347
2026,プリンス関東1部,10,桐生第一,桐生第一,5,11,1,8,2,11,25,-14,https://koko-soccer.com/score/4347
