地区,リーグ名,年度,部・ブロック,結果ページのURL,順位表ページのURL,形式,goalnote_tid,チームの区別,状態,根拠のURL,メモ,Claude確認,確認メモ,チーム数,チーム例,取得方法
第1地区,リバーサイドユースリーグ,2024,1部,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49170,https://junior-soccer.jp/sp/kanto/tokyo/league/order/49170,非公式集計サイト(junior-soccer.jp),,学校名+A/B/C等の接尾辞,確認済み,https://junior-soccer.jp/sp/kanto/tokyo/league/order/49171,49171ページ内の関連リーグ戦リンクからtid49170(1部)を発見。ChatGPTはtid49172を1部としていたが49172は2部Bの順位表だった,ChatGPTの記載と違う,1部のtidが49172ではなく49170だった。49171ページの下部に関連リーグとして1部・2部Bの順位が埋め込まれておりそこからtidを特定,10,南葛飾A/南葛SC/深川A,curlでHTML取得しBeautifulSoupでテキスト抽出(非公式サイトのためtable構造ではなく文章)
第1地区,リバーサイドユースリーグ,2024,2部A,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49171,https://junior-soccer.jp/sp/kanto/tokyo/league/order/49171,非公式集計サイト(junior-soccer.jp),,学校名+A/B/C等の接尾辞,確認済み,https://junior-soccer.jp/sp/kanto/tokyo/league/order/49171,tid49171は確認済み。ただしChatGPT記載の結果ページURL(riverside-league.com/schedule_division2_group_a.html)は2024年度ではなく2026年度の現行ページだったため削除し、junior-soccer.jpのmatchページに差し替えた,ChatGPTの記載と違う,tid自体は一致。結果ページURLとして挙げていたriverside-league.com側が実は2026年度の現行ページだった,9,修徳D/かえつ有明C/開成A,curlでHTML取得しBeautifulSoupでテキスト抽出
第1地区,リバーサイドユースリーグ,2024,2部B,https://junior-soccer.jp/sp/kanto/tokyo/league/match/49172,https://junior-soccer.jp/sp/kanto/tokyo/league/order/49172,非公式集計サイト(junior-soccer.jp),,学校名+A/B/C等の接尾辞,確認済み,https://junior-soccer.jp/sp/kanto/tokyo/league/table/49172,ChatGPTが提示したtid49172はこの2部Bで正しかった(ChatGPTは同じtidを誤って1部にも当てていた点のみが誤り),確認済み（ChatGPTの記載どおり）,tid49172=2部Bという対応そのものは正しかった,10,かえつ有明B/両国/葛飾野C,curlでHTML取得しBeautifulSoupでテキスト抽出
第1地区,リバーサイドユースリーグ,2025,1部,,,不明,,不明,未発見,https://riverside-league.com/topics.html,公式サイトに2025年度の過去ページ・アーカイブリンクが無い(topics.htmlは更新履歴のみで2026年度分しか無い)。junior-soccer.jpでも2025年度のtidへのリンクは見つからなかった,未発見,,,,
第1地区,リバーサイドユースリーグ,2025,2部A,,,不明,,不明,未発見,https://riverside-league.com/topics.html,同上。2025年度のページ・tidともに未発見,未発見,,,,
第1地区,リバーサイドユースリーグ,2025,2部B,,,不明,,不明,未発見,https://riverside-league.com/topics.html,同上。2025年度のページ・tidともに未発見,未発見,,,,
第1地区,リバーサイドユースリーグ,2026,1部,https://riverside-league.com/schedule_division1.html,https://riverside-league.com/standing_division1.html,公式サイト(独自HTML・cp932エンコード),,学校名+A/B/C/D/E等の接尾辞,確認済み,https://riverside-league.com/,ChatGPTはこのURLを2024年度としていたが誤り。トップページに「2026年4月1日 2026年度リーグ情報をアップしました」と明記され、日程も2026年4月〜10月(9/22等の未消化試合あり)。現在進行中の2026年度ページ,ChatGPTの記載と違う,年度がChatGPT記載の2024ではなく2026(現行シーズン)だった。2024/2025年度の過去ページはサイト内に存在しない,10,修徳高校C/都立紅葉川高校/開成,curlで取得しcp932でデコード、BeautifulSoupでtable抽出(fetch_leagues.pyのriverside()関数と同じ手法)
第1地区,リバーサイドユースリーグ,2026,2部A,https://riverside-league.com/schedule_division2_group_a.html,,公式サイト(独自HTML・cp932エンコード),,学校名+A/B/C/D/E等の接尾辞,一部確認,https://riverside-league.com/,順位表ページは見つからず(トップページのナビは1部用のstanding_division1.htmlしかリンクしていない)。試合日程・結果ページのみ確認。2部A/B終了後の順位決定リーグ用ページschedule_division2_final.htmlもあるが現在は「2部リーグのグループリーグ終了までお待ちください」の空ページ,ChatGPTの記載と違う,年度が2024ではなく2026だった(内容はChatGPT記載のURLと同一),10,修徳高校D/都立竹台高等学校/かえつ有明高等学校C,curlで取得しcp932でデコード、BeautifulSoupでtable抽出
第1地区,リバーサイドユースリーグ,2026,2部B,https://www.riverside-league.com/schedule_division2_group_b.html,,公式サイト(独自HTML・cp932エンコード),,学校名+A/B/C/D/E等の接尾辞,一部確認,https://riverside-league.com/,順位表ページ未発見(2部Aと同様)。試合日程・結果ページのみ確認,ChatGPTの記載と違う,年度が2024ではなく2026だった(内容はChatGPT記載のURLと同一),10,都立葛飾野高校B/都立深川高等学校B/修徳高校E,curlで取得しcp932でデコード、BeautifulSoupでtable抽出
第2地区,DUOリーグ,2024,グループA,https://www.goalnote.net/detail-schedule.php?tid=15652,https://www.goalnote.net/detail-standings.php?tid=15652,goalnote,15652,部の区分なし・グループA〜Eの総当り。校名末尾のA/B/C等は同一校の複数チームを示す,確認済み,https://www.goalnote.net/detail.php?tid=15652,ChatGPTは3年度とも確認済みと主張。DUOリーグに1部/2部の区分は無く、グループA〜Eのみ,確認済み（ChatGPTの記載どおり）,raw/web/goalnote_15652_detail.htmlのtitleで2024年度DUOリーグと確認。detail-standings.phpはグループ単位の表5本のみで部の見出しなし。detail-schedule.phpにも「N部」の見出し行は無い（NSリーグ2026側にはある）,10,学習院・都立豊島A・立教池袋,既存ファイル(raw/web/goalnote_*)を再利用しBeautifulSoupで解析。detail.phpのみ新規curl取得
第2地区,DUOリーグ,2024,グループB,https://www.goalnote.net/detail-schedule.php?tid=15652,https://www.goalnote.net/detail-standings.php?tid=15652,goalnote,15652,部の区分なし・グループA〜Eの総当り。校名末尾のA/B/C等は同一校の複数チームを示す,確認済み,https://www.goalnote.net/detail.php?tid=15652,ChatGPTは3年度とも確認済みと主張。DUOリーグに1部/2部の区分は無く、グループA〜Eのみ,確認済み（ChatGPTの記載どおり）,raw/web/goalnote_15652_detail.htmlのtitleで2024年度DUOリーグと確認。detail-standings.phpはグループ単位の表5本のみで部の見出しなし。detail-schedule.phpにも「N部」の見出し行は無い（NSリーグ2026側にはある）,8,駒込B・城西・筑波大附属,既存ファイル(raw/web/goalnote_*)を再利用しBeautifulSoupで解析。detail.phpのみ新規curl取得
第2地区,DUOリーグ,2024,グループC,https://www.goalnote.net/detail-schedule.php?tid=15652,https://www.goalnote.net/detail-standings.php?tid=15652,goalnote,15652,部の区分なし・グループA〜Eの総当り。校名末尾のA/B/C等は同一校の複数チームを示す,確認済み,https://www.goalnote.net/detail.php?tid=15652,ChatGPTは3年度とも確認済みと主張。DUOリーグに1部/2部の区分は無く、グループA〜Eのみ,確認済み（ChatGPTの記載どおり）,raw/web/goalnote_15652_detail.htmlのtitleで2024年度DUOリーグと確認。detail-standings.phpはグループ単位の表5本のみで部の見出しなし。detail-schedule.phpにも「N部」の見出し行は無い（NSリーグ2026側にはある）,8,豊南A・京華A・小石川,既存ファイル(raw/web/goalnote_*)を再利用しBeautifulSoupで解析。detail.phpのみ新規curl取得
