地区,リーグ名,年度,部・ブロック,結果ページのURL,順位表ページのURL,形式,goalnote_tid,チームの区別,状態,根拠のURL,メモ,Claude確認,確認メモ,チーム数,チーム例,取得方法
第5地区,NSリーグ,2024,1部,https://www.goalnote.net/detail-schedule.php?tid=15685,https://www.goalnote.net/detail-standings.php?tid=15685,goalnote,15685,グループA（1部に対応）。校名末尾のA/B/C等は同一校の複数チームを示す,確認済み,https://www.goalnote.net/view.php,ChatGPT・Geminiともに未発見としていたtidを、goalnoteサイト内検索（script/CreateTournamentList.php・free_word=NSリーグ）で発見,新たに発見,raw/web/district/d5/goalnote_15685_detail.htmlのtitleで2024年度NSリーグと確認。detail-schedule.phpの見出し行から グループA=1部 の対応を確認,10,専大附属A・実践学園D・杉並ソシオA,goalnoteのAJAX検索(POST script/CreateTournamentList.php)でtid発見後curlで新規取得。BeautifulSoupで解析
第5地区,NSリーグ,2024,2部A,https://www.goalnote.net/detail-schedule.php?tid=15685,https://www.goalnote.net/detail-standings.php?tid=15685,goalnote,15685,グループB（2部Aに対応）。校名末尾のA/B/C等は同一校の複数チームを示す,確認済み,https://www.goalnote.net/view.php,ChatGPT・Geminiともに未発見としていたtidを、goalnoteサイト内検索（script/CreateTournamentList.php・free_word=NSリーグ）で発見,新たに発見,raw/web/district/d5/goalnote_15685_detail.htmlのtitleで2024年度NSリーグと確認。detail-schedule.phpの見出し行から グループB=2部A の対応を確認,8,都石神井B・早大学院C・杉並ソシオＢ,goalnoteのAJAX検索(POST script/CreateTournamentList.php)でtid発見後curlで新規取得。BeautifulSoupで解析
第5地区,NSリーグ,2024,2部B,https://www.goalnote.net/detail-schedule.php?tid=15685,https://www.goalnote.net/detail-standings.php?tid=15685,goalnote,15685,グループC（2部Bに対応）。校名末尾のA/B/C等は同一校の複数チームを示す,確認済み,https://www.goalnote.net/view.php,ChatGPT・Geminiともに未発見としていたtidを、goalnoteサイト内検索（script/CreateTournamentList.php・free_word=NSリーグ）で発見,新たに発見,raw/web/district/d5/goalnote_15685_detail.htmlのtitleで2024年度NSリーグと確認。detail-schedule.phpの見出し行から グループC=2部B の対応を確認,8,杉並FC・実践学園E・都保谷B,goalnoteのAJAX検索(POST script/CreateTournamentList.php)でtid発見後curlで新規取得。BeautifulSoupで解析
第5地区,NSリーグ,2024,3部A,https://www.goalnote.net/detail-schedule.php?tid=15685,https://www.goalnote.net/detail-standings.php?tid=15685,goalnote,15685,グループD（3部Aに対応）。校名末尾のA/B/C等は同一校の複数チームを示す,確認済み,https://www.goalnote.net/view.php,ChatGPT・Geminiともに未発見としていたtidを、goalnoteサイト内検索（script/CreateTournamentList.php・free_word=NSリーグ）で発見,新たに発見,raw/web/district/d5/goalnote_15685_detail.htmlのtitleで2024年度NSリーグと確認。detail-schedule.phpの見出し行から グループD=3部A の対応を確認,6,都豊多摩B・都杉並・東大附属,goalnoteのAJAX検索(POST script/CreateTournamentList.php)でtid発見後curlで新規取得。BeautifulSoupで解析
第5地区,NSリーグ,2024,3部B,https://www.goalnote.net/detail-schedule.php?tid=15685,https://www.goalnote.net/detail-standings.php?tid=15685,goalnote,15685,グループE（3部Bに対応）。校名末尾のA/B/C等は同一校の複数チームを示す,確認済み,https://www.goalnote.net/view.php,ChatGPT・Geminiともに未発見としていたtidを、goalnoteサイト内検索（script/CreateTournamentList.php・free_word=NSリーグ）で発見,新たに発見,raw/web/district/d5/goalnote_15685_detail.htmlのtitleで2024年度NSリーグと確認。detail-schedule.phpの見出し行から グループE=3部B の対応を確認,6,佼成学園・武蔵野大学・都保谷C,goalnoteのAJAX検索(POST script/CreateTournamentList.php)でtid発見後curlで新規取得。BeautifulSoupで解析
第5地区,NSリーグ,2024,3部C,https://www.goalnote.net/detail-schedule.php?tid=15685,https://www.goalnote.net/detail-standings.php?tid=15685,goalnote,15685,グループF（3部Cに対応）。校名末尾のA/B/C等は同一校の複数チームを示す,確認済み,https://www.goalnote.net/view.php,ChatGPT・Geminiともに未発見としていたtidを、goalnoteサイト内検索（script/CreateTournamentList.php・free_word=NSリーグ）で発見,新たに発見,raw/web/district/d5/goalnote_15685_detail.htmlのtitleで2024年度NSリーグと確認。detail-schedule.phpの見出し行から グループF=3部C の対応を確認,6,都鷺宮B・学大国際・明大中野B,goalnoteのAJAX検索(POST script/CreateTournamentList.php)でtid発見後curlで新規取得。BeautifulSoupで解析
第5地区,NSリーグ,2025,1部,https://www.goalnote.net/detail-schedule.php?tid=16999,https://www.goalnote.net/detail-standings.php?tid=16999,goalnote,16999,グループA（1部に対応）。校名末尾のA/B/C等は同一校の複数チームを示す,確認済み,https://www.goalnote.net/view.php,ChatGPT・Geminiともに未発見としていたtidを、goalnoteサイト内検索（script/CreateTournamentList.php・free_word=NSリーグ）で発見,新たに発見,raw/web/district/d5/goalnote_16999_detail.htmlのtitleで2025年度NSリーグと確認。detail-schedule.phpの見出し行から グループA=1部 の対応を確認,10,杉並ソシオフットボールクラブA・実践学園高等学校D・早稲田大学高等学院B,goalnoteのAJAX検索(POST script/CreateTournamentList.php)でtid発見後curlで新規取得。BeautifulSoupで解析
第5地区,NSリーグ,2025,2部A,https://www.goalnote.net/detail-schedule.php?tid=16999,https://www.goalnote.net/detail-standings.php?tid=16999,goalnote,16999,グループB（2部Aに対応）。校名末尾のA/B/C等は同一校の複数チームを示す,確認済み,https://www.goalnote.net/view.php,ChatGPT・Geminiともに未発見としていたtidを、goalnoteサイト内検索（script/CreateTournamentList.php・free_word=NSリーグ）で発見,新たに発見,raw/web/district/d5/goalnote_16999_detail.htmlのtitleで2025年度NSリーグと確認。detail-schedule.phpの見出し行から グループB=2部A の対応を確認,8,都立保谷高等学校B・都立武蔵丘高等学校A・杉並アヤックスサッカークラブ,goalnoteのAJAX検索(POST script/CreateTournamentList.php)でtid発見後curlで新規取得。BeautifulSoupで解析
第5地区,NSリーグ,2025,2部B,https://www.goalnote.net/detail-schedule.php?tid=16999,https://www.goalnote.net/detail-standings.php?tid=16999,goalnote,16999,グループC（2部Bに対応）。校名末尾のA/B/C等は同一校の複数チームを示す,確認済み,https://www.goalnote.net/view.php,ChatGPT・Geminiともに未発見としていたtidを、goalnoteサイト内検索（script/CreateTournamentList.php・free_word=NSリーグ）で発見,新たに発見,raw/web/district/d5/goalnote_16999_detail.htmlのtitleで2025年度NSリーグと確認。detail-schedule.phpの見出し行から グループC=2部B の対応を確認,8,文化学園大学杉並高等学校・実践学園高等学校E・中央大学杉並高等学校,goalnoteのAJAX検索(POST script/CreateTournamentList.php)でtid発見後curlで新規取得。BeautifulSoupで解析
第5地区,NSリーグ,2025,3部A,https://www.goalnote.net/detail-schedule.php?tid=16999,https://www.goalnote.net/detail-standings.php?tid=16999,goalnote,16999,グループD（3部Aに対応）。校名末尾のA/B/C等は同一校の複数チームを示す,確認済み,https://www.goalnote.net/view.php,ChatGPT・Geminiともに未発見としていたtidを、goalnoteサイト内検索（script/CreateTournamentList.php・free_word=NSリーグ）で発見,新たに発見,raw/web/district/d5/goalnote_16999_detail.htmlのtitleで2025年度NSリーグと確認。detail-schedule.phpの見出し行から グループD=3部A の対応を確認,6,明治大学付属中野高等学校B・堀越高等学校C・杉並学院高等学校A,goalnoteのAJAX検索(POST script/CreateTournamentList.php)でtid発見後curlで新規取得。BeautifulSoupで解析
