年度,リーグ,日付,キックオフ,ホーム,学校H,得点H,アウェイ,学校A,得点A,会場,出典
2018,T3,2018-04-22,12:30,東海大高輪台,東海大高輪台,9,実践学園（C),実践学園,0,東海大学高輪台総合グラウンド,2018_T3-A.pdf
2018,T3,2018-04-06,18:00,日本学園,日本学園,0,関東第一（Ｂ）,関東第一,4,駒沢第2球技場,2018_T3-A.pdf
2018,T3,2018-04-09,19:00,三菱養和SCユース（B）,三菱養和SCユース,3,杉並FCユース,杉並FCユース,0,三菱養和会巣鴨スポーツセンターグラウンド,2018_T3-A.pdf
2018,T3,2018-04-01,14:00,東海大菅生,東海大菅生,0,農大一,農大一,1,東海大学菅生高等学校学びの城グラウンド,2018_T3-A.pdf
2018,T3,2018-04-02,18:30,駿台学園,駿台学園,7,保善,保善,0,赤羽スポーツの森公園競技場,2018_T3-A.pdf
2018,T3,2018-04-25,19:00,関東第一（Ｂ）,関東第一,3,東海大高輪台,東海大高輪台,1,新砂運動場サッカーグラウンド,2018_T3-A.pdf
2018,T3,2018-05-30,18:00,杉並FCユース,杉並FCユース,1,日本学園,日本学園,4,駒沢第2球技場,2018_T3-A.pdf
2018,T3,2018-05-07,19:00,農大一,農大一,0,三菱養和SCユース（B）,三菱養和SCユース,3,三菱養和会巣鴨スポーツセンターグラウンド,2018_T3-A.pdf
2018,T3,2018-05-06,14:00,保善,保善,3,東海大菅生,東海大菅生,4,東海大学菅生高等学校学びの城グラウンド,2018_T3-A.pdf
2018,T3,2018-11-04,17:00,実践学園（C),実践学園,0,駿台学園,駿台学園,4,実践学園高尾グラウンド,2018_T3-A.pdf
2018,T3,2018-07-08,13:00,東海大高輪台,東海大高輪台,5,杉並FCユース,杉並FCユース,1,東海大学高輪台総合グラウンド,2018_T3-A.pdf
2018,T3,2018-06-15,18:00,日本学園,日本学園,1,農大一,農大一,1,駒沢第2球技場,2018_T3-A.pdf
2018,T3,2018-06-24,19:00,三菱養和SCユース（B）,三菱養和SCユース,6,保善,保善,0,三菱養和会巣鴨スポーツセンターグラウンド,2018_T3-A.pdf
2018,T3,2018-07-16,16:00,東海大菅生,東海大菅生,2,駿台学園,駿台学園,3,東海大学菅生高等学校学びの城グラウンド,2018_T3-A.pdf
2018,T3,2018-05-12,18:00,実践学園（C),実践学園,0,関東第一（Ｂ）,関東第一,1,実践学園高尾,2018_T3-A.pdf
2018,T3,2018-07-15,16:00,農大一,農大一,1,東海大高輪台,東海大高輪台,0,東海大学高輪台総合グラウンド,2018_T3-A.pdf
