年度,リーグ,日時,ホーム,学校H,アウェイ,学校A,得点H,得点A,状態,出典
2014,T1,2014.02.22,帝京,帝京,実践学園,実践学園,1,2,終了,https://koko-soccer.com/score/2
2014,T1,2014.02.22,東京朝鮮中高級学校,東京朝鮮中高級学校,駒澤大学高等学校,駒澤大高,2,4,終了,https://koko-soccer.com/score/2
2014,T1,2014.02.22,横河武蔵野ＦＣユース,横河武蔵野FCユース,都立三鷹,三鷹,4,1,終了,https://koko-soccer.com/score/2
2014,T1,2014.02.23,堀越,堀越,関東一,関東第一,1,0,終了,https://koko-soccer.com/score/2
2014,T1,2014.02.23,ＦＣトリプレッタユース,FCトリプレッタユース,成立学園,成立学園,0,4,終了,https://koko-soccer.com/score/2
2014,T1,2014.03.08,横河武蔵野ＦＣユース,横河武蔵野FCユース,東京朝鮮中高級学校,東京朝鮮中高級学校,4,6,終了,https://koko-soccer.com/score/2
2014,T1,2014.03.08,帝京,帝京,成立学園,成立学園,0,0,終了,https://koko-soccer.com/score/2
2014,T1,2014.03.08,ＦＣトリプレッタユース,FCトリプレッタユース,堀越,堀越,1,2,終了,https://koko-soccer.com/score/2
2014,T1,2014.03.09,都立三鷹,三鷹,関東一,関東第一,0,1,終了,https://koko-soccer.com/score/2
2014,T1,2014.03.09,駒澤大学高等学校,駒澤大高,実践学園,実践学園,0,0,終了,https://koko-soccer.com/score/2
2014,T1,2014.03.12,成立学園,成立学園,駒澤大学高等学校,駒澤大高,2,5,終了,https://koko-soccer.com/score/2
2014,T1,2014.03.15,帝京,帝京,ＦＣトリプレッタユース,FCトリプレッタユース,3,0,終了,https://koko-soccer.com/score/2
2014,T1,2014.03.15,横河武蔵野ＦＣユース,横河武蔵野FCユース,実践学園,実践学園,0,2,終了,https://koko-soccer.com/score/2
2014,T1,2014.03.19,都立三鷹,三鷹,堀越,堀越,4,0,終了,https://koko-soccer.com/score/2
2014,T1,2014.03.24,東京朝鮮中高級学校,東京朝鮮中高級学校,関東一,関東第一,2,3,終了,https://koko-soccer.com/score/2
2014,T1,2014.03.22,駒澤大学高等学校,駒澤大高,帝京,帝京,0,0,終了,https://koko-soccer.com/score/2
2014,T1,2014.03.23,横河武蔵野ＦＣユース,横河武蔵野FCユース,成立学園,成立学園,2,1,終了,https://koko-soccer.com/score/2
2014,T1,2014.03.23,ＦＣトリプレッタユース,FCトリプレッタユース,都立三鷹,三鷹,1,4,終了,https://koko-soccer.com/score/2
2014,T1,2014.03.28,関東一,関東第一,実践学園,実践学園,1,2,終了,https://koko-soccer.com/score/2
2014,T1,2014.03.29,堀越,堀越,東京朝鮮中高級学校,東京朝鮮中高級学校,2,2,終了,https://koko-soccer.com/score/2
2014,T1,2014.04.02,帝京,帝京,横河武蔵野ＦＣユース,横河武蔵野FCユース,2,1,終了,https://koko-soccer.com/score/2
2014,T1,2014.04.02,成立学園,成立学園,関東一,関東第一,1,0,終了,https://koko-soccer.com/score/2
2014,T1,2014.04.02,堀越,堀越,実践学園,実践学園,2,6,終了,https://koko-soccer.com/score/2
2014,T1,2014.04.02,都立三鷹,三鷹,東京朝鮮中高級学校,東京朝鮮中高級学校,1,2,終了,https://koko-soccer.com/score/2
2014,T1,2014.04.02,ＦＣトリプレッタユース,FCトリプレッタユース,駒澤大学高等学校,駒澤大高,3,8,終了,https://koko-soccer.com/score/2
2014,T1,2014.04.09,関東一,関東第一,帝京,帝京,2,0,終了,https://koko-soccer.com/score/2
2014,T1,2014.04.09,駒澤大学高等学校,駒澤大高,横河武蔵野ＦＣユース,横河武蔵野FCユース,3,1,終了,https://koko-soccer.com/score/2
2014,T1,2014.04.10,堀越,堀越,成立学園,成立学園,2,4,終了,https://koko-soccer.com/score/2
2014,T1,2014.04.16,東京朝鮮中高級学校,東京朝鮮中高級学校,ＦＣトリプレッタユース,FCトリプレッタユース,2,0,終了,https://koko-soccer.com/score/2
2014,T1,2014.05.06,実践学園,実践学園,都立三鷹,三鷹,2,1,終了,https://koko-soccer.com/score/2
