年度,リーグ,順位,チーム,学校,勝点,試合,勝,敗,分,得点,失点,出典
2014,T1,1,実践学園,実践学園,41,18,12,1,5,40,15,https://koko-soccer.com/score/2
2014,T1,2,駒澤大学高等学校,駒澤大高,38,18,11,2,5,54,19,https://koko-soccer.com/score/2
2014,T1,3,帝京,帝京,35,18,10,3,5,35,22,https://koko-soccer.com/score/2
2014,T1,4,横河武蔵野ＦＣユース,横河武蔵野FCユース,27,18,8,7,3,47,42,https://koko-soccer.com/score/2
2014,T1,5,成立学園,成立学園,23,18,7,9,2,36,33,https://koko-soccer.com/score/2
2014,T1,6,関東一,関東第一,23,18,6,7,5,24,22,https://koko-soccer.com/score/2
2014,T1,7,東京朝鮮中高級学校,東京朝鮮中高級学校,22,18,6,8,4,28,36,https://koko-soccer.com/score/2
2014,T1,8,ＦＣトリプレッタユース,FCトリプレッタユース,18,18,5,10,3,28,52,https://koko-soccer.com/score/2
2014,T1,9,堀越,堀越,15,18,4,11,3,27,58,https://koko-soccer.com/score/2
2014,T1,10,都立三鷹,三鷹,10,18,3,14,1,24,44,https://koko-soccer.com/score/2
2014,T2,1,都立東久留米総合,東久留米総合,45,18,14,1,3,51,18,https://koko-soccer.com/score/3
2014,T2,2,多摩大目黒,多摩大学目黒,44,18,14,2,2,46,17,https://koko-soccer.com/score/3
2014,T2,3,駿台学園,駿台学園,33,18,10,5,3,33,23,https://koko-soccer.com/score/3
2014,T2,4,都立駒場,駒場,26,18,7,6,5,29,28,https://koko-soccer.com/score/3
2014,T2,5,大成,大成,23,18,7,9,2,36,39,https://koko-soccer.com/score/3
2014,T2,6,東海大高輪台,東海大高輪台,23,18,7,9,2,22,37,https://koko-soccer.com/score/3
2014,T2,7,東京実,東京実,20,18,6,10,2,25,37,https://koko-soccer.com/score/3
2014,T2,8,国士舘,国士舘,19,18,5,9,4,24,32,https://koko-soccer.com/score/3
2014,T2,9,修徳,修徳,13,18,4,13,1,26,43,https://koko-soccer.com/score/3
2014,T2,10,日本学園,日本学園,10,18,2,12,4,26,44,https://koko-soccer.com/score/3
2015,T1,1,関東一,関東第一,42,18,13,2,3,35,11,https://koko-soccer.com/score/40
2015,T1,2,都立東久留米総合,東久留米総合,36,18,12,6,0,41,20,https://koko-soccer.com/score/40
2015,T1,3,横河武蔵野ＦＣユース,横河武蔵野FCユース,35,18,11,5,2,54,38,https://koko-soccer.com/score/40
2015,T1,4,國學院久我山,国学院久我山,32,18,9,4,5,44,25,https://koko-soccer.com/score/40
2015,T1,5,帝京,帝京,31,18,9,5,4,33,23,https://koko-soccer.com/score/40
2015,T1,6,駒澤大学高等学校,駒澤大高,30,18,9,6,3,42,21,https://koko-soccer.com/score/40
2015,T1,7,実践学園,実践学園,25,18,8,9,1,34,34,https://koko-soccer.com/score/40
2015,T1,8,成立学園,成立学園,19,18,5,9,4,25,31,https://koko-soccer.com/score/40
2015,T1,9,駿台学園,駿台学園,8,18,2,14,2,15,43,https://koko-soccer.com/score/40
2015,T1,10,多摩大目黒,多摩大学目黒,0,18,0,18,0,9,86,https://koko-soccer.com/score/40
2015,T2,1,東京実業,東京実業,42,18,13,2,3,46,12,https://koko-soccer.com/score/41
2015,T2,2,FC東京U-18(B),FC東京U-18,34,18,11,6,1,50,22,https://koko-soccer.com/score/41
2015,T2,3,ＦＣトリプレッタユース,FCトリプレッタユース,34,18,11,6,1,38,33,https://koko-soccer.com/score/41
2015,T2,4,東海大高輪台,東海大高輪台,27,18,8,7,3,33,24,https://koko-soccer.com/score/41
2015,T2,5,国士舘,国士舘,27,18,8,7,3,31,27,https://koko-soccer.com/score/41
2015,T2,6,大成,大成,25,18,7,7,4,37,28,https://koko-soccer.com/score/41
2015,T2,7,堀越,堀越,25,18,8,9,1,35,43,https://koko-soccer.com/score/41
2015,T2,8,東京朝鮮中高級学校,東京朝鮮中高級学校,24,18,7,8,3,38,33,https://koko-soccer.com/score/41
2015,T2,9,都立駒場,駒場,20,18,5,8,5,26,36,https://koko-soccer.com/score/41
2015,T2,10,都立三鷹中等教育学校,三鷹中等教育学校,0,18,0,18,0,8,84,https://koko-soccer.com/score/41
2016,T1,1,成立学園,成立学園,36,18,11,4,3,38,21,https://koko-soccer.com/score/322
2016,T1,2,國學院久我山,国学院久我山,36,18,11,4,3,42,30,https://koko-soccer.com/score/322
2016,T1,3,駒澤大学高等学校,駒澤大高,34,18,10,4,4,41,21,https://koko-soccer.com/score/322
2016,T1,4,関東一,関東第一,33,18,9,3,6,26,12,https://koko-soccer.com/score/322
2016,T1,5,FC東京U-18(B),FC東京U-18,31,18,9,5,4,36,22,https://koko-soccer.com/score/322
2016,T1,6,実践学園,実践学園,20,18,5,8,5,25,35,https://koko-soccer.com/score/322
2016,T1,7,帝京,帝京,19,18,5,9,4,23,30,https://koko-soccer.com/score/322
2016,T1,8,東京武蔵野シティFCU-18,東京武蔵野シティFCU-18,18,18,5,10,3,19,30,https://koko-soccer.com/score/322
2016,T1,9,都立東久留米総合,東久留米総合,18,18,4,8,6,20,33,https://koko-soccer.com/score/322
2016,T1,10,東京実業,東京実業,4,18,0,14,4,13,49,https://koko-soccer.com/score/322
2016,T2,1,國學院久我山（B）,国学院久我山,39,18,13,5,0,48,24,https://koko-soccer.com/score/323
2016,T2,2,東京朝鮮中高級学校,東京朝鮮中高級学校,39,18,12,3,3,34,15,https://koko-soccer.com/score/323
2016,T2,3,FCトリプレッタユース,FCトリプレッタユース,32,18,10,6,2,39,29,https://koko-soccer.com/score/323
2016,T2,4,大成,大成,29,18,9,7,2,36,29,https://koko-soccer.com/score/323
2016,T2,5,堀越,堀越,28,18,9,8,1,44,33,https://koko-soccer.com/score/323
2016,T2,6,国士舘,国士舘,27,18,7,5,6,30,27,https://koko-soccer.com/score/323
2016,T2,7,東海大高輪台,東海大高輪台,21,18,6,9,3,17,21,https://koko-soccer.com/score/323
2016,T2,8,暁星高等学校,暁星,15,18,4,11,3,20,46,https://koko-soccer.com/score/323
2016,T2,9,駿台学園,駿台学園,13,18,3,11,4,14,28,https://koko-soccer.com/score/323
2016,T2,10,多摩大目黒,多摩大学目黒,12,18,2,10,6,17,47,https://koko-soccer.com/score/323
2016,T3,1,実践学園（B）,実践学園,23,9,7,0,2,19,9,https://koko-soccer.com/score/341
2016,T3,2,早稲田実業,早稲田実業,21,9,7,2,0,22,6,https://koko-soccer.com/score/341
2016,T3,3,修徳,修徳,16,9,5,3,1,21,12,https://koko-soccer.com/score/341
2016,T3,4,日本学園,日本学園,12,9,3,3,3,18,10,https://koko-soccer.com/score/341
2016,T3,5,日大三,日大三,12,9,4,5,0,17,20,https://koko-soccer.com/score/341
2016,T3,6,かえつ有明,かえつ有明,11,9,3,4,2,11,14,https://koko-soccer.com/score/341
2016,T3,7,東京成徳大高,東京成徳大高,9,9,2,4,3,13,24,https://koko-soccer.com/score/341
2016,T3,8,大東大一,大東大一,8,9,2,5,2,14,23,https://koko-soccer.com/score/341
2016,T3,9,東農大一,農大一,8,9,2,5,2,5,24,https://koko-soccer.com/score/341
2016,T3,10,都立駒場,駒場,6,9,1,5,3,18,16,https://koko-soccer.com/score/341
2016,T3,1,駒澤大学高等学校（B）,駒澤大高,22,9,7,1,1,27,12,https://koko-soccer.com/score/342
2016,T3,2,ＦＣ町田ゼルビアユース,FC町田ゼルビアユース,21,9,6,0,3,26,8,https://koko-soccer.com/score/342
2016,T3,3,三菱養和SCユース（B）,三菱養和SCユース,20,9,6,1,2,33,4,https://koko-soccer.com/score/342
2016,T3,4,東京,東京,17,9,5,2,2,17,22,https://koko-soccer.com/score/342
2016,T3,5,東海大菅生,東海大菅生,11,9,3,4,2,13,11,https://koko-soccer.com/score/342
2016,T3,6,武蔵,武蔵,10,9,3,5,1,14,25,https://koko-soccer.com/score/342
2016,T3,7,保善,保善,9,9,2,4,3,18,15,https://koko-soccer.com/score/342
2016,T3,8,杉並FCユース,杉並FCユース,7,9,2,6,1,11,26,https://koko-soccer.com/score/342
2016,T3,9,都立東大和南,東大和南,6,9,2,7,0,11,24,https://koko-soccer.com/score/342
2016,T3,10,都立三鷹中等教育学校,三鷹中等教育学校,4,9,1,7,1,7,30,https://koko-soccer.com/score/342
2016,T4,1,東京武蔵野シティFCU-18（B）,東京武蔵野シティFCU-18,16,7,5,1,1,25,12,https://koko-soccer.com/score/345
2016,T4,2,都立石神井,石神井,16,7,5,1,1,21,17,https://koko-soccer.com/score/345
2016,T4,3,國學院久我山（C）,国学院久我山,15,7,5,2,0,17,9,https://koko-soccer.com/score/345
2016,T4,4,正則学園,正則学園,13,7,4,2,1,21,12,https://koko-soccer.com/score/345
2016,T4,5,駒澤大学高等学校（C）,駒澤大高,8,7,2,3,2,8,11,https://koko-soccer.com/score/345
2016,T4,6,都立野津田,野津田,6,7,2,5,0,9,24,https://koko-soccer.com/score/345
2016,T4,7,実践学園（C）,実践学園,4,7,1,5,1,9,17,https://koko-soccer.com/score/345
2016,T4,8,本郷,本郷,2,7,0,5,2,6,14,https://koko-soccer.com/score/345
2016,T4,1,都立国分寺,国分寺,13,7,4,2,1,14,6,https://koko-soccer.com/score/346
2016,T4,2,関東一（B）,関東第一,13,7,4,2,1,12,8,https://koko-soccer.com/score/346
2016,T4,3,日大豊山,日大豊山,12,7,4,3,0,16,17,https://koko-soccer.com/score/346
2016,T4,4,都立日野台,日野台,11,7,3,2,2,12,9,https://koko-soccer.com/score/346
2016,T4,5,創価,創価,11,7,3,2,2,12,11,https://koko-soccer.com/score/346
2016,T4,6,桐朋,桐朋,10,7,3,3,1,9,13,https://koko-soccer.com/score/346
2016,T4,7,都立東久留米総合（B）,東久留米総合,6,7,2,5,0,7,11,https://koko-soccer.com/score/346
2016,T4,8,都立豊島,豊島,4,7,1,5,1,9,16,https://koko-soccer.com/score/346
2017,T1,1,実践学園,実践学園,42,18,13,2,3,41,15,https://koko-soccer.com/score/658
2017,T1,2,國學院久我山,国学院久我山,40,18,13,4,1,38,16,https://koko-soccer.com/score/658
2017,T1,3,成立学園,成立学園,34,18,11,6,1,36,21,https://koko-soccer.com/score/658
2017,T1,4,FC東京U-18(B),FC東京U-18,30,18,9,6,3,36,24,https://koko-soccer.com/score/658
2017,T1,5,関東一,関東第一,26,18,8,8,2,27,24,https://koko-soccer.com/score/658
2017,T1,6,帝京,帝京,23,18,6,7,5,21,26,https://koko-soccer.com/score/658
2017,T1,7,東京武蔵野シティFCU-18,東京武蔵野シティFCU-18,22,18,7,10,1,25,31,https://koko-soccer.com/score/658
2017,T1,8,駒澤大学高等学校,駒澤大高,21,18,5,7,6,17,24,https://koko-soccer.com/score/658
2017,T1,9,東京朝鮮中高級学校,東京朝鮮中高級学校,10,18,3,14,1,10,34,https://koko-soccer.com/score/658
2017,T1,10,FCトリプレッタユース,FCトリプレッタユース,10,18,3,14,1,16,52,https://koko-soccer.com/score/658
2017,T2,1,都立東久留米総合,東久留米総合,43,18,14,3,1,51,14,https://koko-soccer.com/score/659
2017,T2,2,国士舘,国士舘,31,18,9,5,4,30,21,https://koko-soccer.com/score/659
2017,T2,3,國學院久我山（B）,国学院久我山,30,18,10,8,0,38,28,https://koko-soccer.com/score/659
2017,T2,4,東京実業,東京実業,27,18,8,7,3,29,32,https://koko-soccer.com/score/659
2017,T2,5,駒澤大学高等学校（B）,駒澤大高,26,18,8,8,2,18,31,https://koko-soccer.com/score/659
2017,T2,6,大成,大成,23,18,6,7,5,17,26,https://koko-soccer.com/score/659
2017,T2,7,堀越,堀越,22,18,6,8,4,25,32,https://koko-soccer.com/score/659
2017,T2,8,実践学園（B）,実践学園,21,18,6,9,3,27,28,https://koko-soccer.com/score/659
2017,T2,9,東海大高輪台,東海大高輪台,21,18,6,9,3,22,27,https://koko-soccer.com/score/659
