年度,リーグ,ブロック,節,日付,時刻,ホーム,アウェイ,ホーム得点,アウェイ得点,会場,実施,ホーム学校,ホーム区分,アウェイ学校,アウェイ区分,出典
2025,T1,,1,2025-04-01,10:00,成立,国士舘,2,2,成立鷲宮グラウンド,済,成立学園,A,国士舘,A,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
2025,T1,,1,2025-04-01,14:00,FC東京B,実践学園,1,3,東京ガス武蔵野苑多目的グランド,済,FC東京,B,実践学園,A,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
2025,T1,,1,2025-04-01,16:00,多摩大目黒,駒大,2,1,東戸塚フットボールパーク,済,多摩大学目黒,A,駒澤大高,A,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
2025,T1,,1,2025-04-02,10:00,堀越,東海大高輪台,2,3,堀越学園総合グラウンド,済,堀越,A,東海大高輪台,A,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
2025,T1,,1,2025-04-02,18:30,町田Y,大成,1,1,NICHIBUN SAKURA FIELD,済,町田Y,A,大成,A,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
2025,T1,,2,2025-04-06,10:00,成立,町田Y,0,4,成立鷲宮グラウンド,済,成立学園,A,町田Y,A,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
2025,T1,,2,2025-04-06,13:00,東海大高輪台,FC東京B,1,1,東海大高輪台総合グラウンド,済,東海大高輪台,A,FC東京,B,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
2025,T1,,2,2025-04-06,13:00,国士舘,駒大,1,0,国士舘町田,済,国士舘,A,駒澤大高,A,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
2025,T1,,2,2025-04-06,14:00,実践学園,多摩大目黒,1,2,実践学園高尾グラウンド,済,実践学園,A,多摩大学目黒,A,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
2025,T1,,2,2025-04-07,17:00,堀越,大成,0,1,堀越学園総合グラウンド,済,堀越,A,大成,A,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
2025,T1,,3,2025-07-05,18:00,国士舘,実践学園,2,1,国士舘町田,済,国士舘,A,実践学園,A,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
2025,T1,,3,2025-07-05,18:45,大成,東海大高輪台,0,0,東京朝鮮G/大沢Ｇ(7/7),済,大成,A,東海大高輪台,A,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
2025,T1,,3,2025-07-12,18:00,多摩大目黒,FC東京B,2,0,東戸塚フットボールパーク,済,多摩大学目黒,A,FC東京,B,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
2025,T1,,3,2025-07-12,18:00,堀越,成立,4,3,堀越学園総合グラウンド,済,堀越,A,成立学園,A,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
2025,T1,,3,2025-07-13,18:30,町田Y,駒大,2,1,NICHIBUN SAKURA FIELD,済,町田Y,A,駒澤大高,A,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
2025,T1,,4,2025-05-03,14:00,FC東京B,国士舘,5,2,東京ガス武蔵野苑多目的グランド,済,FC東京,B,国士舘,A,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
2025,T1,,4,2025-05-03,14:30,大成,成立,1,1,NICHIBUN SAKURA FIELD,済,大成,A,成立学園,A,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
2025,T1,,4,2025-05-03,17:00,実践学園,町田Y,0,1,実践学園高尾グラウンド,済,実践学園,A,町田Y,A,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
2025,T1,,4,2025-05-11,16:00,東海大高輪台,多摩大目黒,0,1,東海大高輪台総合グラウンド,済,東海大高輪台,A,多摩大学目黒,A,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
2025,T1,,4,2025-07-19,18:00,駒大,堀越,0,1,堀越学園総合グラウンド,済,駒澤大高,A,堀越,A,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
2025,T1,,5,2025-05-06,13:30,駒大,大成,1,0,日大三高,済,駒澤大高,A,大成,A,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
2025,T1,,5,2025-05-06,18:00,国士舘,多摩大目黒,0,1,国士舘楓の杜,済,国士舘,A,多摩大学目黒,A,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
2025,T1,,5,2025-05-10,18:00,堀越,実践学園,1,0,堀越学園総合グラウンド,済,堀越,A,実践学園,A,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
2025,T1,,5,2025-05-11,18:00,町田Y,FC東京B,2,2,NICHIBUN SAKURA FIELD,済,町田Y,A,FC東京,B,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
2025,T1,,5,2025-06-25,16:00,成立,東海大高輪台,1,0,成立鷲宮グラウンド,済,成立学園,A,東海大高輪台,A,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
2025,T1,,6,2025-05-18,10:00,東海大高輪台,国士舘,2,3,東海大高輪台総合グラウンド,済,東海大高輪台,A,国士舘,A,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
2025,T1,,6,2025-05-18,16:00,FC東京B,堀越,2,1,東京ガス武蔵野苑多目的グランド,済,FC東京,B,堀越,A,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
2025,T1,,6,2025-06-08,14:30,大成,実践学園,1,1,NICHIBUN SAKURA FIELD,済,大成,A,実践学園,A,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
2025,T1,,6,2025-07-06,18:00,成立,駒大,0,3,成立鷲宮グラウンド,済,成立学園,A,駒澤大高,A,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
2025,T1,,6,2025-07-20,19:00,多摩大目黒,町田Y,0,1,東戸塚フットボールパーク,済,多摩大学目黒,A,町田Y,A,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
2025,T1,,7,2025-06-14,17:00,東海大高輪台,駒大,0,2,東海大高輪台総合グラウンド,済,東海大高輪台,A,駒澤大高,A,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
2025,T1,,7,2025-06-15,10:00,堀越,多摩大目黒,3,2,堀越学園総合グラウンド,済,堀越,A,多摩大学目黒,A,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
2025,T1,,7,2025-06-15,17:00,FC東京B,大成,4,2,東京ガス武蔵野苑多目的グランド,済,FC東京,B,大成,A,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
2025,T1,,7,2025-06-15,17:00,実践学園,成立,3,1,実践学園高尾グラウンド,済,実践学園,A,成立学園,A,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
2025,T1,,7,2025-06-15,18:00,町田Y,国士舘,2,0,NICHIBUN SAKURA FIELD,済,町田Y,A,国士舘,A,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
2025,T1,,8,2025-06-18,18:30,東海大高輪台,町田Y,1,3,NICHIBUN SAKURA FIELD,済,東海大高輪台,A,町田Y,A,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
2025,T1,,8,2025-06-19,18:30,FC東京B,成立,3,1,東京ガス武蔵野苑多目的グランド,済,FC東京,B,成立学園,A,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
2025,T1,,8,2025-06-22,09:30,大成,多摩大目黒,5,1,駒沢第２球技場,済,大成,A,多摩大学目黒,A,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
2025,T1,,8,2025-06-22,10:00,国士舘,堀越,3,0,国士舘楓の杜,済,国士舘,A,堀越,A,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
2025,T1,,8,2025-06-22,18:30,駒大,実践学園,3,0,駒沢第２球技場,済,駒澤大高,A,実践学園,A,https://www.tleague-u18.com/schedule.php?dy=2025&dt=1
