年度,リーグ,ブロック,順位,チーム,学校,区分,勝点,試合,勝,敗,分,得点,失点,得失点,出典
2025,T1,,1,町田Y,町田Y,A,44,18,14,2,2,42,13,29,https://www.tleague-u18.com/rank.php?dy=2025&dt=1
2025,T1,,2,多摩大目黒,多摩大学目黒,A,32,18,10,6,2,21,20,1,https://www.tleague-u18.com/rank.php?dy=2025&dt=1
2025,T1,,3,大成,大成,A,29,18,8,5,5,26,20,6,https://www.tleague-u18.com/rank.php?dy=2025&dt=1
2025,T1,,4,堀越,堀越,A,27,18,8,7,3,35,31,4,https://www.tleague-u18.com/rank.php?dy=2025&dt=1
2025,T1,,5,FC東京B,FC東京,B,27,18,8,7,3,33,35,-2,https://www.tleague-u18.com/rank.php?dy=2025&dt=1
2025,T1,,6,実践学園,実践学園,A,26,18,8,8,2,27,23,4,https://www.tleague-u18.com/rank.php?dy=2025&dt=1
2025,T1,,7,国士舘,国士舘,A,26,18,8,8,2,25,27,-2,https://www.tleague-u18.com/rank.php?dy=2025&dt=1
2025,T1,,8,駒大,駒澤大高,A,21,18,7,11,0,21,27,-6,https://www.tleague-u18.com/rank.php?dy=2025&dt=1
2025,T1,,9,成立,成立学園,A,16,18,4,10,4,21,36,-15,https://www.tleague-u18.com/rank.php?dy=2025&dt=1
2025,T1,,10,東海大高輪台,東海大高輪台,A,9,18,2,13,3,15,34,-19,https://www.tleague-u18.com/rank.php?dy=2025&dt=1
2025,T2,,1,早稲田実業,早稲田実業,A,34,18,11,6,1,30,26,4,https://www.tleague-u18.com/rank.php?dy=2025&dt=2
2025,T2,,2,帝京B,帝京,B,30,18,8,4,6,46,27,19,https://www.tleague-u18.com/rank.php?dy=2025&dt=2
2025,T2,,3,東久留米,東久留米総合,A,30,18,9,6,3,17,14,3,https://www.tleague-u18.com/rank.php?dy=2025&dt=2
2025,T2,,4,関東第一,関東第一,A,29,18,9,7,2,34,19,15,https://www.tleague-u18.com/rank.php?dy=2025&dt=2
2025,T2,,5,修徳,修徳,A,27,18,8,7,3,36,33,3,https://www.tleague-u18.com/rank.php?dy=2025&dt=2
2025,T2,,6,養和SC・B,養和SC,B,27,18,8,7,3,29,27,2,https://www.tleague-u18.com/rank.php?dy=2025&dt=2
2025,T2,,7,日大三,日大三,A,26,18,8,8,2,26,32,-6,https://www.tleague-u18.com/rank.php?dy=2025&dt=2
2025,T2,,8,駒大B,駒澤大高,B,23,18,6,7,5,25,26,-1,https://www.tleague-u18.com/rank.php?dy=2025&dt=2
2025,T2,,9,横河武蔵野,横河武蔵野,A,17,18,4,9,5,23,32,-9,https://www.tleague-u18.com/rank.php?dy=2025&dt=2
2025,T2,,10,駿台学園,駿台学園,A,11,18,3,13,2,20,50,-30,https://www.tleague-u18.com/rank.php?dy=2025&dt=2
2025,T3,Aブロック,1,東京実業,東京実業,A,20,9,6,1,2,17,5,12,https://www.tleague-u18.com/rank.php?dy=2025&dt=3&ltno=5
2025,T3,Aブロック,2,町田Y・B,町田Y,B,20,9,6,1,2,17,7,10,https://www.tleague-u18.com/rank.php?dy=2025&dt=3&ltno=5
2025,T3,Aブロック,3,実践学園B,実践学園,B,16,9,5,3,1,21,12,9,https://www.tleague-u18.com/rank.php?dy=2025&dt=3&ltno=5
2025,T3,Aブロック,4,久我山B,国学院久我山,B,16,9,5,3,1,12,9,3,https://www.tleague-u18.com/rank.php?dy=2025&dt=3&ltno=5
2025,T3,Aブロック,5,石神井,石神井,A,14,9,4,3,2,18,13,5,https://www.tleague-u18.com/rank.php?dy=2025&dt=3&ltno=5
2025,T3,Aブロック,6,多摩大目黒B,多摩大学目黒,B,14,9,4,3,2,9,8,1,https://www.tleague-u18.com/rank.php?dy=2025&dt=3&ltno=5
2025,T3,Aブロック,7,横河武蔵野B,横河武蔵野,B,10,9,2,3,4,13,14,-1,https://www.tleague-u18.com/rank.php?dy=2025&dt=3&ltno=5
2025,T3,Aブロック,8,東海大菅生,東海大菅生,A,10,9,3,5,1,9,15,-6,https://www.tleague-u18.com/rank.php?dy=2025&dt=3&ltno=5
2025,T3,Aブロック,9,早大学院,早大学院,A,6,9,2,7,0,5,21,-16,https://www.tleague-u18.com/rank.php?dy=2025&dt=3&ltno=5
2025,T3,Aブロック,10,暁星,暁星,A,1,9,0,8,1,6,23,-17,https://www.tleague-u18.com/rank.php?dy=2025&dt=3&ltno=5
2025,T3,Bブロック,1,帝京C,帝京,C,25,9,8,0,1,30,7,23,https://www.tleague-u18.com/rank.php?dy=2025&dt=3&ltno=6
2025,T3,Bブロック,2,関東第一Ｂ,関東第一,B,21,9,6,0,3,15,6,9,https://www.tleague-u18.com/rank.php?dy=2025&dt=3&ltno=6
2025,T3,Bブロック,3,東京朝鮮,東京朝鮮,A,18,9,6,3,0,19,14,5,https://www.tleague-u18.com/rank.php?dy=2025&dt=3&ltno=6
