順位,学校,総合点,強さの点数,強さの点数_換算,今季のリーグ,リーグ順位,リーグ_換算,つながり_目安,つながり_換算,武蔵丘が勝つ見込み,免除の根拠
1,帝京,94.0,2366,88.1,プリンス関東1部,8,100.0,-5.68,100.0,0.013,総体二次・プリンス
2,堀越,90.1,2377,89.5,T1,3,91.4,-5.15,89.8,0.012,総体二次・T1
3,実践学園,89.6,2415,94.3,T1,2,93.1,-4.26,72.6,0.009,総体二次・T1
4,成立学園,88.6,2460,100.0,T2,1,77.6,-4.48,76.8,0.007,総体二次・T2
5,大成,82.9,2329,83.4,T1,4,89.7,-4.19,71.2,0.015,総体二次・T1
6,国士舘,80.6,2311,81.1,T1,7,84.5,-4.32,73.7,0.017,総体二次・T1
7,駒澤大高,78.7,2326,83.0,T2,6,69.0,-4.77,82.4,0.016,総体二次・T2
8,國學院久我山,76.9,2258,74.4,T1,5,87.9,-3.95,66.6,0.023,総体二次・T1
9,東海大高輪台,73.0,2258,74.4,T2,2,75.9,-3.88,65.3,0.023,総体二次・T2
10,多摩大目黒,71.8,2161,62.1,T1,6,86.2,-4.35,74.3,0.04,総体二次・T1
11,東京実業,71.0,2249,73.2,T2,3,74.1,-3.65,60.8,0.024,総体二次・T2
12,修徳,67.2,2147,60.3,T2,5,70.7,-4.59,79.0,0.043,総体二次・T2
13,関東第一,62.1,2132,58.4,T2,4,72.4,-3.4,56.0,0.046,総体二次・T2
14,早稲田実業,60.3,2049,47.8,T1,10,79.3,-3.77,63.1,0.073,総体二次・T1
15,日大豊山,58.5,2134,58.6,T3 Aブロック,3,56.9,-3.65,60.8,0.046,総体二次
16,日大三,55.8,2077,51.4,T2,7,67.2,-3.07,49.6,0.063,T2
17,明星学園,48.7,2127,57.7,T4 Aブロック,2,41.4,-2.43,37.3,0.048,総体二次
18,東京朝鮮,46.5,2012,43.1,T3 Bブロック,4,55.2,-2.66,41.7,0.089,総体二次
19,東久留米総合,45.7,1905,29.6,T2,9,63.8,-3.55,58.9,0.152,T2
20,創価,42.0,1967,37.4,T3 Aブロック,6,51.7,-2.52,39.0,0.112,総体二次
21,国分寺,41.2,2041,46.8,T4 Aブロック,5,36.2,-2.31,34.9,0.076,総体二次
22,駿台学園,40.4,1938,33.8,T3 Bブロック,5,53.4,-2.43,37.3,0.13,総体二次
23,狛江,39.1,1926,32.2,T3 Aブロック,7,50.0,-2.56,39.8,0.137,その他
24,東大和南,38.0,1928,32.5,T3 Bブロック,7,50.0,-2.25,33.8,0.136,総体二次
25,東京成徳,35.5,1958,36.3,T4 Aブロック,6,34.5,-2.32,35.1,0.117,総体二次
26,国立,34.3,2010,42.9,T5 Cブロック,3,22.4,-2.08,30.5,0.089,総体二次
27,拓大一,34.3,2001,41.8,T5 Cブロック,1,25.9,-1.96,28.2,0.094,総体二次
28,日大鶴ヶ丘,31.0,1944,34.5,T5 Bブロック,2,24.1,-2.18,32.4,0.126,総体二次
29,本郷,26.0,1949,35.2,T5 Bブロック,6,17.2,-1.34,16.2,0.123,総体二次
30,日野台,20.2,1878,26.1,T5 Bブロック,9,12.1,-1.4,17.4,0.174,総体二次
31,東京農大一,16.8,1897,28.6,地区リーグ（未確認）,,0.0,-1.15,12.5,0.159,総体二次
32,開成,0.0,1672,0.0,地区リーグ（未確認）,,0.0,-0.5,0.0,0.407,総体二次
