この表の下をスワイプしてご覧いただけます。                                                                                                                                                                                                                                                                                                                        ,,,,,,,,,
日付,試合開始時刻,ホームチーム,ホームの得点,-,アウェイの得点,アウェイチーム,試合会場,,
04/03,19:00,大成C,3,-,1,星槎国際八王子,朝鮮大学校,,
04/04,9:30,三鷹中等,1,-,3,調布南A,都立三鷹中等教育学校,,所属チーム
04/05,15:30,明大八王子B,0,-,14,片倉,明大八王子高校グランド,,片倉
04/02,16:00,昭和第一学園B,1,-,0,八王子東A,昭和第一学園,,Raiz Chofu F.C U-18
04/11,12:30,三鷹中等,2,-,0,大成C,駒沢第二球技場,,大成C
04/12,9:30,星槎国際八王子,1,-,2,Raiz Chofu F.C U-18,調布市関東村E3グランド,,調布南A
04/04,18:00,Raiz Chofu F.C U-18,0,-,1,明星学園B,調布市西町グランド,,昭和第一学園B
04/12,15:30,明星学園B,4,-,0,片倉,都立片倉高校G,,八王子東A
04/12,15:00,調布南A,2,-,0,八王子東A,昭和高校,,三鷹中等
04/12,16:00,明大八王子B,1,-,2,昭和第一学園B,明大八王子高校,,星槎国際八王子
04/18,17:00,大成C,4,-,0,八王子東A,大成高校,,明星学園B
04/19,12:30,調布南A,2,-,0,昭和第一学園B,桐朋高校,,明大八王子B
04/19,18:00,Raiz Chofu F.C U-18,1,-,2,三鷹中等,調布西町グランド,,ここを変更するとチーム名がすべて変更されます。
04/19,15:30,星槎国際八王子,2,-,4,片倉,片倉高校,,
04/19,16:30,明大八王子B,1,-,9,明星学園B,明大八王子,,
05/17,16:00,昭和第一学園B,1,-,2,大成C,昭和第一学園G,,
05/18,18:30,明星学園B,8,-,0,星槎国際八王子,朝鮮大学G,,
05/17,17:30,八王子東A,0,-,2,Raiz Chofu F.C U-18,調布西町グランド,,
05/24,15:30,片倉,2,-,5,三鷹中等,片倉高校,,
05/24,15:00,明大八王子B,0,-,7,調布南A,明大八王子,,
05/30,19:15,大成C,2,-,0,調布南A,朝鮮大学校,,
05/31,9:30,三鷹中等,0,-,4,明星学園B,都立三鷹中等教育学校,,
05/31,18:00,昭和第一学園B,0,-,0,Raiz Chofu F.C U-18,調布西町グランド,,
06/12,19:00,明星学園B,7,-,0,八王子東A,朝鮮大学G,,
06/14,9:00,三鷹中等,1,-,0,星槎国際八王子,都立三鷹中等教育学校,,
06/07,15:00,明大八王子B,5,-,1,星槎国際八王子,明大八王子,,
06/14,16:30,昭和第一学園B,1,-,3,片倉,昭和第一学園,,
06/14,18:00,Raiz Chofu F.C U-18,0,-,2,調布南A,調布市西町グラウンド,,
06/14,13:00,明大八王子B,0,-,8,大成C,明大八王子高校,,
09/12,19:15,Raiz Chofu F.C U-18,1,-,4,大成C,朝鮮大学グランド,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
