この表の下をスワイプしてご覧いただけます。                                                                                                                                                                                                                                                                                                                        ,,,,,,,,,
日付,試合開始時刻,ホームチーム,ホームの得点,-,アウェイの得点,アウェイチーム,試合会場,,
04/04,13:30,桐朋,4,-,1,八王子北,桐朋高校,,
04/05,15:30,昭和第一学園C,0,-,3,八王子,昭和第一学園高等学校,,所属チーム
04/11,9:00,松が谷,3,-,0,翔陽,松が谷高校,,明大明治B
04/12,9:30,桐朋,1,-,0,昭和第一学園C,桐朋,,桐朋
04/12,13:30,三鷹中等B,2,-,1,八王子,都立三鷹中等教育学校,,八王子
04/19,9:30,桐朋,6,-,1,三鷹中等B,桐朋高校,,松が谷
05/10,9:30,桐朋,1,-,2,翔陽,桐朋高校,,国立B
05/06,13:30,明大明治B,0,-,0,三鷹中等B,明大明治会場,,翔陽
06/06,9:00,松が谷,1,-,1,八王子,松が谷高校,,三鷹中等B
04/12,13:30,明大明治B,0,-,3,八王子北,明大明治,,昭和第一学園C
04/19,16:10,明大明治B,0,-,1,昭和第一学園C,明大明治,,八王子北
06/07,9:30,三鷹中等B,1,-,1,昭和第一学園C,都立三鷹中等教育学校,,
06/07,11:10,明大明治B,3,-,0,翔陽,明大明治,,ここを変更するとチーム名がすべて変更されます。
06/06,13:30,桐朋,2,-,0,国立B,桐朋,,
06/14,11:00,三鷹中等B,0,-,4,松が谷,都立三鷹中等教育学校,,
04/05,15:30,昭和第一学園C,0,-,3,八王子,昭和第一学園,,
05/10,16:00,昭和第一学園C,1,-,2,八王子北,昭和第一学園,,
06/21,14:00,明大明治B,5,-,1,国立B,明大明治G,,
06/22,17:15,三鷹中等B,1,-,3,八王子北,三鷹市大沢総合グラウンド,,
05/05,9:30,翔陽,3,-,1,八王子,翔陽,,
06/14,9:30,翔陽,0,-,1,八王子北,翔陽,,
06/14,9:00,国立B,0,-,3,八王子,都立国立高校,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
,,,,-,,,,,
