順位,チーム名,勝点,試合,勝,引,負,得点,失点,得失,,,,,,,,,,,,,順位,チーム,勝点,試合,勝,引,負,得点,失点,得失,換算
1,明星学園C,15,5,5,0,0,27,3,24,,,,,,,,,,,,,6,GA,6,4,2,0,2,10,12,-2,590
2,府中西,13,6,4,1,1,13,5,8,,,,,,,,,,,,,5,LSS MITAKA,8,6,2,2,2,8,10,-2,788
3,南平,9,5,3,0,2,14,5,9,,,,,,,,,,,,,3,南平,9,5,3,0,2,14,5,9,1004
4,府中,9,5,3,0,2,8,7,1,,,,,,,,,,,,,4,府中,9,5,3,0,2,8,7,1,918
5,LSS MITAKA,8,6,2,2,2,8,10,-2,,,,,,,,,,,,,7,調布南B,3,5,1,0,4,1,10,-9,211
6,GA,6,4,2,0,2,10,12,-2,,,,,,,,,,,,,2,府中西,13,6,4,1,1,13,5,8,1393
7,調布南B,3,5,1,0,4,1,10,-9,,,,,,,,,,,,,9,明大明治C,1,6,0,1,5,1,24,-23,-129
8,八王子実践,2,4,0,2,2,2,8,-6,,,,,,,,,,,,,8,八王子実践,2,4,0,2,2,2,8,-6,142
9,明大明治C,1,6,0,1,5,1,24,-23,,,,,,,,,,,,,1,明星学園C,15,5,5,0,0,27,3,24,1767
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
※この順位表は暫定的なものです。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
■2部リーグ自動昇格　■2部リーグ昇格プレーオフ出場（3部Bリーグ2位と対戦）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
