順位,チーム名,勝点,試合,勝,引,負,得点,失点,得失,,,,,,,,,,,,,順位,チーム,勝点,試合,勝,引,負,得点,失点,得失,換算
1,アローレ八王子U-18B,10,4,3,1,0,9,2,7,,,,,,,,,,,,,6,府中東セカンド,3,3,1,0,2,5,6,-1,295
2,松が谷B,9,5,3,0,2,11,5,6,,,,,,,,,,,,,7,富士森B,1,5,0,1,4,2,12,-10,2
3,日野,9,6,3,0,3,12,9,3,,,,,,,,,,,,,1,アローレ八王子U-18B,10,4,3,1,0,9,2,7,1079
4,神代,7,3,2,1,0,5,2,3,,,,,,,,,,,,,3,日野,9,6,3,0,3,12,9,3,942
5,明星,4,2,1,1,0,2,1,1,,,,,,,,,,,,,4,神代,7,3,2,1,0,5,2,3,735
6,府中東セカンド,3,3,1,0,2,5,6,-1,,,,,,,,,,,,,5,明星,4,2,1,1,0,2,1,1,412
7,富士森B,1,5,0,1,4,2,12,-10,,,,,,,,,,,,,2,松が谷B,9,5,3,0,2,11,5,6,971
8,立川国際,0,2,0,0,2,1,10,-9,,,,,,,,,,,,,8,立川国際,0,2,0,0,2,1,10,-9,-89
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
※この順位表は暫定的なものです。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
■2部リーグ自動昇格　■2部リーグ昇格プレーオフ出場（3部Aリーグ2位と対戦）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
